,classe,grid_name,year,area_ha
0,3,NA-19-X-C,2016,22587.629679231723
811,12,NA-19-X-C,2016,13.75885805664062
1100,15,NA-19-X-C,2016,1.4294991149902343
1858,33,NA-19-X-C,2016,17.779398693847654
2148,3,NA-19-X-C,2017,22593.705084694368
2959,12,NA-19-X-C,2017,19.119460601806644
3248,15,NA-19-X-C,2017,1.4294991149902343
4007,33,NA-19-X-C,2017,6.343388653564455
4298,3,NA-19-X-C,2018,22577.801889333037
5109,12,NA-19-X-C,2018,9.917076928710935
5399,15,NA-19-X-C,2018,0.8934376586914062
6157,33,NA-19-X-C,2018,31.89568418579104
6448,3,NA-19-X-C,2019,22594.330477046664
7259,12,NA-19-X-C,2019,19.92360166015625
7550,15,NA-19-X-C,2019,2.0548962768554686
8312,33,NA-19-X-C,2019,4.645832037353515
8602,3,NA-19-X-C,2020,22595.04523750198
9126,11,NA-19-X-C,2020,1.786872479248047
9417,12,NA-19-X-C,2020,19.030152917480468
9709,15,NA-19-X-C,2020,2.0548962768554686
10483,33,NA-19-X-C,2020,2.6802748352050774
10773,3,NA-19-X-C,2021,22595.04525294998
11302,11,NA-19-X-C,2021,4.467172076416015
11594,12,NA-19-X-C,2021,18.40471614990235
11885,15,NA-19-X-C,2021,2.7696357421874995
12972,3,NA-19-X-C,2022,22597.502385490123
13499,11,NA-19-X-C,2022,1.8762164978027345
13789,12,NA-19-X-C,2022,17.8237875343233
14079,15,NA-19-X-C,2022,2.7696357421874995
14881,33,NA-19-X-C,2022,0.4467221618652344
15173,3,NA-19-X-C,2023,22608.714834724888
15976,12,NA-19-X-C,2023,7.95150825805664
16261,15,NA-19-X-C,2023,2.7696357421874995
17061,33,NA-19-X-C,2023,1.6975152099609372
1,3,NA-19-X-D,2016,36189.40350043696
522,11,NA-19-X-D,2016,542.3933299376016
812,12,NA-19-X-D,2016,5.717552819824217
1859,33,NA-19-X-D,2016,0.6253879333496094
2149,3,NA-19-X-D,2017,36265.52293904799
2670,11,NA-19-X-D,2017,466.2738913267608
2960,12,NA-19-X-D,2017,5.717552819824217
4008,33,NA-19-X-D,2017,0.6253879333496094
4299,3,NA-19-X-D,2018,36266.32702349624
4820,11,NA-19-X-D,2018,465.559148028421
5110,12,NA-19-X-D,2018,5.717552819824217
6158,33,NA-19-X-D,2018,0.5360467834472656
6449,3,NA-19-X-D,2019,36268.113855735
6969,11,NA-19-X-D,2019,463.68297463974926
7260,12,NA-19-X-D,2019,5.717552819824217
8313,33,NA-19-X-D,2019,0.6253879333496094
8603,3,NA-19-X-D,2020,36259.492433276326
9127,11,NA-19-X-D,2020,472.3043970983885
9418,12,NA-19-X-D,2020,5.717552819824217
10484,33,NA-19-X-D,2020,0.6253879333496094
10774,3,NA-19-X-D,2021,36259.760469189416
11303,11,NA-19-X-D,2021,472.1257023352048
11595,12,NA-19-X-D,2021,5.717552819824217
12683,33,NA-19-X-D,2021,0.5360467834472656
12973,3,NA-19-X-D,2022,36251.18373563219
13500,11,NA-19-X-D,2022,477.0394719702149
13790,12,NA-19-X-D,2022,6.43224738769531
14882,33,NA-19-X-D,2022,3.484316137695313
15174,3,NA-19-X-D,2023,36160.189090126805
15697,11,NA-19-X-D,2023,553.2033271864226
15977,12,NA-19-X-D,2023,6.521583837890622
17062,33,NA-19-X-D,2023,18.22576997680665
2,3,NA-19-Y-B,2016,698845.8598429702
295,4,NA-19-Y-B,2016,1.1617071105957033
523,11,NA-19-Y-B,2016,427.6109573059089
813,12,NA-19-Y-B,2016,524.9239156005854
1101,15,NA-19-Y-B,2016,25.916832189941417
1860,33,NA-19-Y-B,2016,3314.3017084450803
2150,3,NA-19-Y-B,2017,698878.8509070472
2443,4,NA-19-Y-B,2017,1.1617071105957033
2671,11,NA-19-Y-B,2017,447.0031835083015
2961,12,NA-19-Y-B,2017,505.0843697998041
3249,15,NA-19-Y-B,2017,25.38064968872071
4009,33,NA-19-Y-B,2017,3281.0430468218383
4300,3,NA-19-Y-B,2018,698805.8473949608
4593,4,NA-19-Y-B,2018,1.1617071105957033
4821,11,NA-19-Y-B,2018,609.924841839601
5111,12,NA-19-Y-B,2018,514.1116691955566
5400,15,NA-19-Y-B,2018,34.140141528320314
6159,33,NA-19-Y-B,2018,3172.443933246859
6450,3,NA-19-Y-B,2019,698916.1213682295
6743,4,NA-19-Y-B,2019,1.1617071105957033
6970,11,NA-19-Y-B,2019,424.5724041259772
7261,12,NA-19-Y-B,2019,523.1371456665041
7551,15,NA-19-Y-B,2019,57.28542986450192
8314,33,NA-19-Y-B,2019,3216.960570588929
8604,3,NA-19-Y-B,2020,698777.1592584021
8897,4,NA-19-Y-B,2020,1.1617071105957033
9128,11,NA-19-Y-B,2020,410.45346500854544
9419,12,NA-19-Y-B,2020,530.0173642272945
9710,15,NA-19-Y-B,2020,139.1439823181153
10485,33,NA-19-Y-B,2020,3280.766552650695
10775,3,NA-19-Y-B,2021,698742.1041438023
11068,4,NA-19-Y-B,2021,1.1617071105957033
11304,11,NA-19-Y-B,2021,573.8941988159193
11596,12,NA-19-Y-B,2021,523.044611761474
11886,15,NA-19-Y-B,2021,250.64164310314715
12684,33,NA-19-Y-B,2021,3041.959074769479
12974,3,NA-19-Y-B,2022,697796.0323380725
13267,4,NA-19-Y-B,2022,1.1617071105957033
13501,11,NA-19-Y-B,2022,329.75254906005887
13791,12,NA-19-Y-B,2022,467.81727675781104
14080,15,NA-19-Y-B,2022,724.6986400138348
14883,33,NA-19-Y-B,2022,3822.5467942531113
15175,3,NA-19-Y-B,2023,697775.8338080278
15468,4,NA-19-Y-B,2023,2.1446614196777345
15698,11,NA-19-Y-B,2023,340.3857313598634
15978,12,NA-19-Y-B,2023,299.9120134460448
16262,15,NA-19-Y-B,2023,1109.9439358756526
16781,25,NA-19-Y-B,2023,82.65677134399395
17063,33,NA-19-Y-B,2023,3526.932344768571
3,3,NA-19-Y-D,2016,879272.4227018332
524,11,NA-19-Y-D,2016,705.3182985168451
814,12,NA-19-Y-D,2016,383.1418358337408
1102,15,NA-19-Y-D,2016,8.403176855468754
1861,33,NA-19-Y-D,2016,7574.95772201713
2151,3,NA-19-Y-D,2017,879231.0319492391
2672,11,NA-19-Y-D,2017,748.9417806518546
2962,12,NA-19-Y-D,2017,385.376557318116
3250,15,NA-19-Y-D,2017,8.49255568237305
4010,33,NA-19-Y-D,2017,7568.344880220246
4301,3,NA-19-Y-D,2018,879086.7652885151
4822,11,NA-19-Y-D,2018,880.0811067626919
5112,12,NA-19-Y-D,2018,369.64345945434616
5401,15,NA-19-Y-D,2018,8.581946386718753
6160,33,NA-19-Y-D,2018,7602.926426429061
6451,3,NA-19-Y-D,2019,879255.7182741542
6971,11,NA-19-Y-D,2019,680.3777290161124
7262,12,NA-19-Y-D,2019,385.19781817627023
7552,15,NA-19-Y-D,2019,37.81401510620116
7841,18,NA-19-Y-D,2019,0.4469809692382812
8315,33,NA-19-Y-D,2019,7589.873681659773
8605,3,NA-19-Y-D,2020,879069.6114177371
9129,11,NA-19-Y-D,2020,710.0567355529781
